小人物 Nobody,7.8,,,,,,,
总是有爱在隔离 總是有愛在隔離,4.4,,,,,,,
穿过寒冬拥抱你,6.0,,,,,,,
古驰家族 House of Gucci,6.3,,,,,,,
纪念品：第二部分 The Souvenir: Part II,7.2,,,,,,,
爱之歌 Lovesong,5.6,,,,,,,
混合容器 Comingled Containers,7.4,,,,,,,
The Dark Tower,,,,,,,,
Crack Glass Eulogy,,,,,,,,
恒星 Stellar,7.1,,,,,,,
色彩黑白研究 Study in Color and Black and White,,,,,,,,
黑冰 Black Ice,6.9,,,,,,,
为了玛丽莲 For Marilyn,,,,,,,,
Delicacies of Molten Horror Synapse,,,,,,,,
全神贯注的凝视 Glaze of Cathexis,6.8,,,,,,,
愤怒之网 Rage Net,7.1,,,,,,,
夜间音乐 Night Music,7.3,,,,,,,
Hell Spit Flexion,,,,,,,,
但丁四重奏 The Dante Quartet,7.7,,,,,,,
我……做梦 I...Dreaming,7.2,,,,,,,
儿童游戏 Kindering,5.6,,,,,,,
星辰美丽 The Stars Are Beautiful,6.8,,,,,,,
现世欢乐的花园 The Garden of Earthly Delights,7.7,,,,,,,
荒野阴影 The Wold Shadow,6.6,,,,,,,
眼之谜 Eye Myth,7.0,,,,,,,
飞蛾之光 Mothlight,7.1,,,,,,,
水窗中的颤动婴儿 Window Water Baby Moving,8.1,,,,,,,
翻绳作戏 Cat's Cradle,7.1,,,,,,,
左拉传 The Life of Emile Zola,7.8,,,,,,,
旺达幻视 WandaVision,9.0,,,,,,,
曾经相爱的我们,2.8,,,,,,,
太极拳 太極拳,5.3,,,,,,,
意外空间 El Incidente,7.6,,,,,,,
白蛇传·情,8.0,,,,,,,
甘草披萨 Licorice Pizza,6.8,,,,,,,
龙牌之谜 Тайна печати дракона,3.6,,,,,,,
守岛人,7.4,,,,,,,
一切顺利 Tout s'est bien passé,7.4,,,,,,,
歌舞大王齐格飞 The Great Ziegfeld,7.4,,,,,,,
海女 あまちゃん,9.3,,,,,,,
叛舰喋血记 Mutiny on the Bounty,7.9,,,,,,,
大佬爱美丽,6.2,,,,,,,
误杀2,5.7,,,,,,,
贝尔法斯特 Belfast,6.9,,,,,,,
空白,7.3,,,,,,,
龙的深处―失落的拼图,7.7,,,,,,,
布劳涅森林的女人们 Les dames du Bois de Boulogne,7.5,,,,,,,
财星高照 Questa volta ti faccio ricco!,,,,,,,,
活泼的特丽萨 La vispa Teresa,,,,,,,,
乱世春秋 Cavalcade,6.0,,,,,,,
李茂扮太子,4.3,,,,,,,
欢乐好声音2 Sing 2,7.1,,,,,,,
东京贵族女子 あのこは貴族,7.7,,,,,,,
飞龙再生 飛龍再生,6.0,,,,,,,
无声 無聲,7.8,,,,,,,
犬之力 The Power of the Dog,7.8,,,,,,,
冰川时代：巴克·怀尔德的冒险之旅 The Ice Age Adventures of Buck Wild,5.3,,,,,,,
成龙的特技 成龍的特技,8.8,,,,,,,
扬名立万,7.4,,,,,,,
一个英雄 قهرمان,7.6,,,,,,,
玉面情魔 Nightmare Alley,6.8,,,,,,,
成龙的传奇 Jackie Chan: my story,7.6,,,,,,,
稻草狗 Straw Dogs,7.6,,,,,,,
鬼马两金刚 鬼馬兩金剛,,,,,,,,
火刑柱上的贞德 Giovanna d'Arco al rogo,,,,,,,,
长津湖之水门桥,7.2,,,,,,,
爱情神话,8.1,,,,,,,
小妈妈 Petite maman,7.9,,,,,,,
记忆 Memoria,7.7,,,,,,,
超级计划 超級計劃,6.9,,,,,,,
我和我的父辈,6.5,,,,,,,
健听女孩 CODA,8.6,,,,,,,
正发生 L'Événement,7.9,,,,,,,
扭计杂牌军 扭計雜牌軍,5.9,,,,,,,
同学麦娜丝 同學麥娜絲,7.9,,,,,,,
在你面前 당신얼굴 앞에서,7.6,,,,,,,
"倒数时刻 Tick, Tick…Boom!",8.2,,,,,,,
威龙猛探 威龍猛探,6.3,,,,,,,
我好奇之蓝 Jag är nyfiken - en film i blått,6.6,,,,,,,
艳女还魂 豔女還魂,5.8,,,,,,,
印度 India: Matri Bhumi,7.8,,,,,,,
铁道英雄,5.8,,,,,,,
"灵魂乐之夏 Summer of Soul (...Or, When the Revolution Could Not Be Televised)",7.9,,,,,,,
浅草小子 浅草キッド,8.3,,,,,,,
神勇双响炮 神勇雙響炮,7.1,,,,,,,
无尽攀登,8.1,,,,,,,
安妮特 Annette,6.9,,,,,,,
麦克白的悲剧 The Tragedy of Macbeth,7.2,,,,,,,
炮弹飞车2 Cannonball Run II,5.7,,,,,,,
1950他们正年轻,8.9,,,,,,,
黑客帝国：矩阵重启 The Matrix Resurrections,5.7,,,,,,,
世界上最糟糕的人 Verdens verste menneske,7.9,,,,,,,
迷你特攻队,5.3,,,,,,,
我好奇之黄 Jag är nyfiken - en film i gult,6.7,,,,,,,
五大汉 五大漢,6.2,,,,,,,
啄木鸟和雨 キツツキと雨,7.8,,,,,,,
杀马特我爱你,8.6,,,,,,,
杰伊·比姆 Jai Bhim,8.7,,,,,,,
圣母 Benedetta,7.8,,,,,,,
龙少爷 龍少爺,6.9,,,,,,,
长津湖,7.4,,,,,,,
不要抬头 Don't Look Up,7.6,,,,,,,
女孩和蜘蛛 Das Mädchen und die Spinne,7.0,,,,,,,
三十六迷形拳,5.8,,,,,,,
好好拍电影 好好拍電影,8.9,,,,,,,
魔法满屋 Encanto,6.4,,,,,,,
新·福音战士剧场版：终 シン・エヴァンゲリオン劇場版:│▌,9.2,,,,,,,
女人 Woman,9.4,,,,,,,
新生化危机 Resident Evil: Welcome to Raccoon City,4.6,,,,,,,
